title,artist,track_artist,album_type,release_date,cover_image_url,track_number,song_title
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,1,ほめのび
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,2,リリカルMonster
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,3,はっぴー
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,4,ぎゅーどんかーにばる！
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,5,Wander!
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,6,イタズラーニャ！
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,7,HOME
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,8,ours
のえさんぽ,白銀ノエル,白銀ノエル,Album,2023-11-25,/albums/%E3%81%AE%E3%81%88%E3%81%95%E3%82%93%E3%81%BB%E3%82%9A.png,9,ラフミーテンダー
ほめのび,白銀ノエル,白銀ノエル,Single,2021-09-27,/albums/%E3%81%BB%E3%82%81%E3%81%AE%E3%81%B2%E3%82%99.png,1,ほめのび
ほめのび,白銀ノエル,白銀ノエル,Single,2021-09-27,/albums/%E3%81%BB%E3%82%81%E3%81%AE%E3%81%B2%E3%82%99.png,2,ほめのび - Instrumental
リリカルMonster,白銀ノエル,白銀ノエル,Single,2022-06-27,/albums/%E3%83%AA%E3%83%AA%E3%82%AB%E3%83%ABMonster.png,1,リリカルMonster
リリカルMonster,白銀ノエル,白銀ノエル,Single,2022-06-27,/albums/%E3%83%AA%E3%83%AA%E3%82%AB%E3%83%ABMonster.png,2,リリカルMonster - Instrumental -
ours,白銀ノエル,白銀ノエル,EP,2022-08-28,/albums/ours.jpg,1,ours
ours,白銀ノエル,白銀ノエル,EP,2022-08-28,/albums/ours.jpg,2,ours - Acoustic & Piano ver
ours,白銀ノエル,白銀ノエル,EP,2022-08-28,/albums/ours.jpg,3,ours - Instrumental
ours,白銀ノエル,白銀ノエル,EP,2022-08-28,/albums/ours.jpg,4,ours - Acoustic & Piano ver Instrumental
はっぴー,白銀ノエル,白銀ノエル,Single,2022-11-25,/albums/%E3%81%AF%E3%81%A3%E3%81%B2%E3%82%9A%E3%83%BC.png,1,はっぴー
はっぴー,白銀ノエル,白銀ノエル,Single,2022-11-25,/albums/%E3%81%AF%E3%81%A3%E3%81%B2%E3%82%9A%E3%83%BC.png,2,はっぴー - Instrumental
トレビアンナイト,白銀ノエル,白銀ノエル,Single,2025-08-16,/albums/%E3%83%88%E3%83%AC%E3%83%92%E3%82%99%E3%82%A2%E3%83%B3%E3%83%8A%E3%82%A4%E3%83%88.png,1,トレビアンナイト
トレビアンナイト,白銀ノエル,白銀ノエル,Single,2025-08-16,/albums/%E3%83%88%E3%83%AC%E3%83%92%E3%82%99%E3%82%A2%E3%83%B3%E3%83%8A%E3%82%A4%E3%83%88.png,2,トレビアンナイト - Instrumental
なかま歌,不知火建設,不知火建設,Single,2023-08-28,/albums/%E3%81%AA%E3%81%8B%E3%81%BE%E6%AD%8C.png,1,なかま歌
なかま歌,不知火建設,不知火建設,Single,2023-08-28,/albums/%E3%81%AA%E3%81%8B%E3%81%BE%E6%AD%8C.png,2,なかま歌 - Instrumental
scrap ＆ build !,不知火建設,不知火建設,EP,2024-06-08,/albums/scrap%EF%BC%86build.png,1,スクラップ&ビルド！
scrap ＆ build !,不知火建設,不知火建設,EP,2024-06-08,/albums/scrap%EF%BC%86build.png,2,なかま歌
scrap ＆ build !,不知火建設,不知火建設,EP,2024-06-08,/albums/scrap%EF%BC%86build.png,4,ひかえめわんだーらん
scrap ＆ build !,不知火建設,不知火建設,EP,2024-06-08,/albums/scrap%EF%BC%86build.png,5,Run or Run
scrap ＆ build !,不知火建設,不知火建設,EP,2024-06-08,/albums/scrap%EF%BC%86build.png,6,しらないファンタスティックワールド
いんたらくとふぁんたじあ,ホロライブファンタジー,ホロライブファンタジー,Single,2021-11-22,/albums/%E3%81%84%E3%82%93%E3%81%9F%E3%82%89%E3%81%8F%E3%81%A8%E3%81%B5%E3%81%81%E3%82%93%E3%81%9F%E3%81%97%E3%82%99%E3%81%82.png,1,いんたらくとふぁんたじあ
いんたらくとふぁんたじあ,ホロライブファンタジー,ホロライブファンタジー,Single,2021-11-22,/albums/%E3%81%84%E3%82%93%E3%81%9F%E3%82%89%E3%81%8F%E3%81%A8%E3%81%B5%E3%81%81%E3%82%93%E3%81%9F%E3%81%97%E3%82%99%E3%81%82.png,2,いんたらくとふぁんたじあ - Instrumental
ほろはにヶ丘高校 -Covers-,hololive × HoneyWorks,"夜空メル, 白上フブキ, 夏色まつり, 不知火フレア, 白銀ノエル",Album,2024-02-27,/albums/hololive-honeyworks_covers.png,1,ファンサ
SPOTLIGHT vol.2,Various Artists,白銀ノエル,Compilation,2022-01-26,/albums/spotlight_vol2.jpg,9,ハロ／ハワユ
SPOTLIGHT vol.2,Various Artists,白雪みしろ & 白銀ノエル,Compilation,2022-01-26,/albums/spotlight_vol2.jpg,17,恋愛サーキュレーション
astro,Blue Journey,Blue Journey,Single,2023-07-17,/albums/astro.jpeg,1,astro
夜明けのうた,Blue Journey,Blue Journey,Album,2023-09-06,/albums/%E5%A4%9C%E6%98%8E%E3%81%91%E3%81%AE%E3%81%86%E3%81%9F.jpg,6,astro
水たまり,Blue Journey,Blue Journey,Single,2024-02-06,/albums/%E6%B0%B4%E3%81%9F%E3%81%BE%E3%82%8A.jpg,1,水たまり
水たまり,Blue Journey,Blue Journey,Single,2024-02-06,/albums/%E6%B0%B4%E3%81%9F%E3%81%BE%E3%82%8A.jpg,2,水たまり - Instrumental
水たまり,Blue Journey,Blue Journey,Single,2024-02-06,/albums/%E6%B0%B4%E3%81%9F%E3%81%BE%E3%82%8A.jpg,3,水たまり - Performance ver.
水たまり,Blue Journey,Blue Journey,Single,2024-02-06,/albums/%E6%B0%B4%E3%81%9F%E3%81%BE%E3%82%8A.jpg,4,水たまり - Instrumental Piano Arrange ver.
キラメキライダー☆,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2020-02-24,/albums/%E3%82%AD%E3%83%A9%E3%83%A1%E3%82%AD%E3%83%A9%E3%82%A4%E3%82%BF%E3%82%99%E3%83%BC.png,1,キラメキライダー☆
キラメキライダー☆,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2020-02-24,/albums/%E3%82%AD%E3%83%A9%E3%83%A1%E3%82%AD%E3%83%A9%E3%82%A4%E3%82%BF%E3%82%99%E3%83%BC.png,2,キラメキライダー☆ - Instrumental
でいり～だいあり～！,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2021-01-21,/albums/%E3%81%A6%E3%82%99%E3%81%84%E3%82%8A%E3%80%9C%E3%81%9F%E3%82%99%E3%81%84%E3%81%82%E3%82%8A%E3%80%9C.png,1,でいり～だいあり～！
でいり～だいあり～！,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2021-01-21,/albums/%E3%81%A6%E3%82%99%E3%81%84%E3%82%8A%E3%80%9C%E3%81%9F%E3%82%99%E3%81%84%E3%81%82%E3%82%8A%E3%80%9C.png,2,でいり～だいあり～！ - Instrumental
飛んでK！ホロライブサマー,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2022-08-19,/albums/%E9%A3%9B%E3%82%93%E3%81%A6%E3%82%99K%E3%83%9B%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%95%E3%82%99%E3%82%B5%E3%83%9E%E3%83%BC.png,1,飛んでK！ホロライブサマー
飛んでK！ホロライブサマー,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2022-08-19,/albums/%E9%A3%9B%E3%82%93%E3%81%A6%E3%82%99K%E3%83%9B%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%95%E3%82%99%E3%82%B5%E3%83%9E%E3%83%BC.png,2,飛んでK！ホロライブサマー - Instrumental
Sparklers,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2022-08-26,/albums/Sparklers.jpg,1,Sparklers
Sparklers,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2022-08-26,/albums/Sparklers.jpg,2,Sparklers - Instrumental
ホロライブ・サマー2022,hololive IDOL PROJECT,hololive IDOL PROJECT,EP,2022-09-01,/albums/%E3%83%9B%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%95%E3%82%99%E3%82%B5%E3%83%9E%E3%83%BC2022.jpg,1,飛んでK！ホロライブサマー
ホロライブ・サマー2022,hololive IDOL PROJECT,hololive IDOL PROJECT,EP,2022-09-01,/albums/%E3%83%9B%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%95%E3%82%99%E3%82%B5%E3%83%9E%E3%83%BC2022.jpg,3,Sparklers
ホロライブ・サマー2022,hololive IDOL PROJECT,hololive IDOL PROJECT,EP,2022-09-01,/albums/%E3%83%9B%E3%83%AD%E3%83%A9%E3%82%A4%E3%83%95%E3%82%99%E3%82%B5%E3%83%9E%E3%83%BC2022.jpg,4,Shiny Smily Story - 2022 ver.
六本の薔薇と采の歌,"薔薇☆Dice(鷹嶺ルイ・不知火フレア・白銀ノエル・宝鐘マリン・桃鈴ねね・風真いろは),太鼓の達人,Bandai Namco Game Music","薔薇☆Dice(鷹嶺ルイ・不知火フレア・白銀ノエル・宝鐘マリン・桃鈴ねね・風真いろは),太鼓の達人,Bandai Namco Game Music",Single,2022-11-27,/albums/%E5%85%AD%E6%9C%AC%E3%81%AE%E8%96%94%E8%96%87%E3%81%A8%E9%87%87%E3%81%AE%E6%AD%8C.jpg,1,六本の薔薇と采の歌
Merry Holy Date♡,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2023-12-02,/albums/MerryHolyDate.webp,1,Merry Holy Date♡
Merry Holy Date♡,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2023-12-02,/albums/MerryHolyDate.webp,2,Merry Holy Date♡ - Instrumental
ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2024-03-15,/albums/CanYouDothehololive2024.png,1,ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.
ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,hololive IDOL PROJECT,hololive IDOL PROJECT,Single,2024-03-15,/albums/CanYouDothehololive2024.png,2,ホロライブ言えるかな？hololive SUPER EXPO 2024 ver. - Instrumental
REALITY FANTASY,HOLOLIVE FANTASY,HOLOLIVE FANTASY,Single,2024-03-31,/albums/REALITYFANTASY.png,1,REALITY FANTASY
REALITY FANTASY,HOLOLIVE FANTASY,HOLOLIVE FANTASY,Single,2024-03-31,/albums/REALITYFANTASY.png,2,REALITY FANTASY - Instrumental
キズナトキセキ with hololive JP,湊あくあ,湊あくあ,Single,2024-08-28,/albums/kizunatokisekiwithhololiveJP.png,1,キズナトキセキ with hololive JP
