title,artist,album_type,release_date,cover_image_url,track_number,song_title
のえさんぽ,白銀ノエル,Album,2023-11-25,,1,ほめのび
のえさんぽ,白銀ノエル,Album,2023-11-25,,2,リリカルMonster
のえさんぽ,白銀ノエル,Album,2023-11-25,,3,はっぴー
のえさんぽ,白銀ノエル,Album,2023-11-25,,4,ぎゅーどんかーにばる！
のえさんぽ,白銀ノエル,Album,2023-11-25,,5,Wander!
のえさんぽ,白銀ノエル,Album,2023-11-25,,6,イタズラーニャ！
のえさんぽ,白銀ノエル,Album,2023-11-25,,7,HOME
のえさんぽ,白銀ノエル,Album,2023-11-25,,8,ours
のえさんぽ,白銀ノエル,Album,2023-11-25,,9,ラフミーテンダー
ほめのび,白銀ノエル,Single,2021-09-27,,1,ほめのび
ほめのび,白銀ノエル,Single,2021-09-27,,2,ほめのび - Instrumental
リリカルMonster,白銀ノエル,Single,2022-06-27,,1,リリカルMonster
リリカルMonster,白銀ノエル,Single,2022-06-27,,2,リリカルMonster - Instrumental -
ours,白銀ノエル,EP,2022-08-28,,1,ours
ours,白銀ノエル,EP,2022-08-28,,2,ours - Acoustic & Piano ver
ours,白銀ノエル,EP,2022-08-28,,3,ours - Instrumental
ours,白銀ノエル,EP,2022-08-28,,4,ours - Acoustic & Piano ver Instrumental
はっぴー,白銀ノエル,Single,2022-11-25,,1,はっぴー
はっぴー,白銀ノエル,Single,2022-11-25,,2,はっぴー - Instrumental
トレビアンナイト,白銀ノエル,Single,2025-08-16,,1,トレビアンナイト
トレビアンナイト,白銀ノエル,Single,2025-08-16,,2,トレビアンナイト - Instrumental
なかま歌,不知火建設,Single,2023-08-28,,1,なかま歌
なかま歌,不知火建設,Single,2023-08-28,,2,なかま歌 - Instrumental
scrap ＆ build !,不知火建設,EP,2024-06-08,,1,スクラップ&ビルド！
scrap ＆ build !,不知火建設,EP,2024-06-08,,2,なかま歌
scrap ＆ build !,不知火建設,EP,2024-06-08,,4,ひかえめわんだーらん
scrap ＆ build !,不知火建設,EP,2024-06-08,,5,Run or Run
scrap ＆ build !,不知火建設,EP,2024-06-08,,6,しらないファンタスティックワールド
いんたらくとふぁんたじあ,ホロライブファンタジー,Single,2021-11-22,,1,いんたらくとふぁんたじあ
いんたらくとふぁんたじあ,ホロライブファンタジー,Single,2021-11-22,,2,いんたらくとふぁんたじあ - Instrumental
ほろはにヶ丘高校 -Covers-,hololive × HoneyWorks,Album,2024-02-27,,1,ファンサ
SPOTLIGHT vol.2,Various Artists,Compilation,2022-01-26,,9,ハロ／ハワユ
SPOTLIGHT vol.2,Various Artists,Compilation,2022-01-26,,17,恋愛サーキュレーション
astro,Blue Journey,Single,2023-07-17,,1,astro
夜明けの歌,Blue Journey,Album,2023-09-06,,6,astro
水たまり,Blue Journey,Single,2024-02-06,,1,水たまり
水たまり,Blue Journey,Single,2024-02-06,,2,水たまり - Instrumental
水たまり,Blue Journey,Single,2024-02-06,,3,水たまり - Performance ver.
水たまり,Blue Journey,Single,2024-02-06,,4,水たまり - Instrumental Piano Arrange ver.
キラメキライダー☆,hololive IDOL PROJECT,Single,2020-02-24,,1,キラメキライダー☆
キラメキライダー☆,hololive IDOL PROJECT,Single,2020-02-24,,2,キラメキライダー☆ - Instrumental
でいり～だいあり～！,hololive IDOL PROJECT,Single,2021-01-21,,1,でいり～だいあり～！
でいり～だいあり～！,hololive IDOL PROJECT,Single,2021-01-21,,2,でいり～だいあり～！ - Instrumental
飛んでK！ホロライブサマー,hololive IDOL PROJECT,Single,2022-08-19,,1,飛んでK！ホロライブサマー
飛んでK！ホロライブサマー,hololive IDOL PROJECT,Single,2022-08-19,,2,飛んでK！ホロライブサマー - Instrumental
Sparklers,hololive IDOL PROJECT,Single,2022-08-26,,1,Sparklers
Sparklers,hololive IDOL PROJECT,Single,2022-08-26,,2,Sparklers - Instrumental
ホロライブ・サマー2022,hololive IDOL PROJECT,EP,2022-09-01,,1,飛んでK！ホロライブサマー
ホロライブ・サマー2022,hololive IDOL PROJECT,EP,2022-09-01,,3,Sparklers
ホロライブ・サマー2022,hololive IDOL PROJECT,EP,2022-09-01,,4,Shiny Smily Story - 2022 ver.
六本の薔薇と采の歌,薔薇☆Dice,Single,2022-11-27,,1,六本の薔薇と采の歌
Merry Holy Date♡,hololive IDOL PROJECT,Single,2023-12-02,,1,Merry Holy Date♡
Merry Holy Date♡,hololive IDOL PROJECT,Single,2023-12-02,,2,Merry Holy Date♡ - Instrumental
ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,hololive IDOL PROJECT,Single,2024-03-15,,1,ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.
ホロライブ言えるかな？hololive SUPER EXPO 2024 ver.,hololive IDOL PROJECT,Single,2024-03-15,,2,ホロライブ言えるかな？hololive SUPER EXPO 2024 ver. - Instrumental
REALITY FANTASY,HOLOLIVE FANTASY,Single,2024-03-31,,1,REALITY FANTASY
REALITY FANTASY,HOLOLIVE FANTASY,Single,2024-03-31,,2,REALITY FANTASY - Instrumental
キズナトキセキ with hololive JP,湊あくあ,Single,2024-08-28,,1,キズナトキセキ with hololive JP
キズナトキセキ with hololive JP,湊あくあ,Single,2024-08-28,,2,キズナトキセキ with hololive JP - Instrumental
アバンチュール♡ホリック,hololive IDOL PROJECT,Single,2023-07-30,,1,アバンチュール♡ホリック
アバンチュール♡ホリック,hololive IDOL PROJECT,Single,2023-07-30,,2,アバンチュール♡ホリック - Instrumental
Bouquet,hololive IDOL PROJECT,Album,2021-04-21,,6,でいり～だいあり～！ - Bouquet ver.
#幻想郷ホロイズム,宝鐘マリン,Album,2020-07-10,,2,ホイホイ☆幻想ホロイズム
#幻想郷ホロイズム,宝鐘マリン,Album,2020-07-10,,12,"Help me, ERINNNNNN!! #幻想郷ホロイズムver."
