title,category,content,thumbnail_url,external_url,published_at
味ぽんとコラボ！8月8日から「ホロぽん飯テロ部 2025」コラボ開始！,コラボ グッズ キャンペーン,ミツカンの「味ぽん®」とホロライブがコラボし、「ホロぽん飯テロ部 2025」を実施。昨年に続いての起用となる白銀ノエルさんとさくらみこさんが参加。コラボグッズがセットになった限定商品の発売やSNS投稿キャンペーン、コラボ配信が行われます。,/2025/8/%E5%91%B3%E3%81%BB%E3%82%9A%E3%82%93.jpeg,https://x.com/ajipon_mizkan/status/1952927944730657051,2025-08-04
『白猫プロジェクト』×『ホロライブ』コラボ第2弾が7月31日より開催！さくらみこ、不知火フレア、白銀ノエル、尾丸ポルカが登場！,コラボ イベント キャンペーン,コロプラのスマホ向け3DアクションRPG『白猫プロジェクト NEW WORLD’S』にて、ホロライブとの第2弾コラボイベントが8月15日（金）まで開催。さくらみこさん、不知火フレアさん、白銀ノエルさん、尾丸ポルカさんの4名が登場します。第1弾コラボも復刻。公式Xにて投稿キャンペーンも開催中です。,/2025/8/%E7%99%BD%E7%8C%AB.jpg,https://colopl.co.jp/news/pressrelease/2025073101.php,2025-07-24
ホロライブ3期生のメンバー4人が、超特大ぬいぐるみになって登場！,グッズ キャンペーン,タイトーから、超特大サイズのぬいぐるみ「どきゅーと ホロライブプロダクション」が予約販売開始。ホロライブ3期生の4名が約100㎝超えの迫力サイズのぬいぐるみになりました。完全受注生産で予約受付は7月10日11:00から8月11日23:59まで。,/2025/8/%E3%81%A8%E3%82%99%E3%81%8D%E3%82%85%E3%83%BC%E3%81%A8.jpg,https://taito-goods.jp/shop/c/chololive/,2025-07-03
【25年12月発売】ホロライブプロダクション ウエハースvol.4,グッズ,ホロライブプロダクションのウエハース第4弾が登場。メタリックプラカード全31種がランダムに封入され、裏面には本商品限定の手書きコメント付き。ホロライブメンバーたちの魅力が詰まったコレクションアイテムです。バニラクリーム味のウエハースにカードが1枚付属で、1箱20個入り。発売は2025年12月予定。,/2025/8/%E3%82%A6%E3%82%A8%E3%83%8F%E3%83%BC%E3%82%B9.jpeg,https://www.bandai.co.jp/candy/products/2025/4570117922718000.html,2025-08-01
【25年09月発売】ホロライブプロダクション 缶バッジスナック vol.1,グッズ,ホロライブプロダクションの缶バッジ付きスナック「ホロライブプロダクション 缶バッジスナック vol.1」が新登場。ホロライブJP全32名の描き下ろしデフォルメ缶バッジがランダム封入され、直径約6.5cmのホログラム仕様。コーンポタージュ味のスナックとセットで楽しめます。販売は全国量販店菓子売り場などにて予定されています。,/2025/8/%E7%BC%B6%E3%83%8F%E3%82%99%E3%83%83%E3%82%B7%E3%82%99%E3%82%B9%E3%83%8A%E3%83%83%E3%82%AF.jpg,https://www.bandai.co.jp/candy/products/2025/4570117923340000.html,2025-05-20
【25年09月19日発売】hololive OFFICIAL CARD GAME 1st Anniversary Blooming Memories,グッズ,hololive OFFICIAL CARD GAME1周年を記念し、カードコレクションブック「hololive OFFICIAL CARD GAME 1st Anniversary Blooming Memories」が9月19日（金）に発売。S(スペシャル)仕様の新規サポートカード「SorAZセレブレーション」と矢吹健太朗先生描き下ろしの新規ホロメンカード「白銀ノエル」が同梱されます。,/2025/8/%E3%83%9B%E3%83%AD%E3%82%AB1%E5%91%A8%E5%B9%B4.jpeg,https://www.shueisha.co.jp/books/items/contents.html?isbn=978-4-08-779829-6,2025-07-10
【25年05月07日発売】Holoearth Days! A Tale Side:W ウェスタdeクッキング -幸せのルセット-(1),グッズ キャンペーン,ホロライブ・オルタナティブの世界を舞台にしたWEBマンガ『ウェスタdeクッキング』第1巻が発売します。赤井はあとさん、角巻わためさん、不知火フレアさん、白銀ノエルさんの4人による異世界ドタバタクッキングコメディです。コミックスには各話のアフターストーリーを描き下ろしで収録されています。,/2025/8/%E3%82%A6%E3%82%A7%E3%82%B9%E3%82%BF.jpeg,https://holoearth.com/alt/news/comic3%EF%BC%861/,2025-05-07
【25年06月28日発売】一番くじ ホロライブ ～Wedding Dress Style～,グッズ,「一番くじ ホロライブ ～Wedding Dress Style～」が25年6月28日（土）から順次発売開始。白銀ノエルさん、宝鐘マリンさん、常闇トワさん、雪花ラミィさんの4名がウェディング衣装で登場し、フィギュアやビジュアルボードなど多彩な賞品がラインアップ。価格は1回850円（税込）。オンライン販売は7月1日17時開始。,/2025/8/%E4%B8%80%E7%95%AA%E3%81%8F%E3%81%97%E3%82%99.jpg,https://1kuji.com/products/hololive-ws,2025-03-08
【25年08月再販】白銀ノエル 水着Ver. 1/7 完成品フィギュア,グッズ,2023年11月発売に販売された、白銀ノエルさんの1/7スケールスタチューフィギュアが再販。活動一周年記念の描き下ろしイラストを立体化、水着から溢れそうな大胸筋や日焼け後の火照りがリアルに再現されています。,/2025/8/%E6%B0%B4%E7%9D%80%E3%83%95%E3%82%A3%E3%82%AD%E3%82%99%E3%83%A5%E3%82%A2.webp,https://www.goodsmile.com/ja/product/11590/%E7%99%BD%E9%8A%80%E3%83%8E%E3%82%A8%E3%83%AB+%E6%B0%B4%E7%9D%80Ver.?srsltid=AfmBOorR1pvZq08vbHYHoewaHh9X9tssCVOkwcMUDuX4hJG0EZ2bnko7,2025-08-01
大分市の夏の風物詩「府内戦紙（ふないぱっちん）」にスペシャルゲストで白銀ノエル出演！,イベント,大分県大分市最大のお祭り「府内戦紙（ふないぱっちん）」の中継番組に、バーチャル大分育ちの白銀ノエルさんがスペシャルゲストとして出演。祭りの魅力や熱気を、バーチャルの世界からリアルタイムで伝えます。番組は「J:COMチャンネル大分」で生中継されるほか、地域情報アプリ「ど・ろーかる」やYouTubeでも同時配信。視聴者参加型の企画も実施され、より多くの人が祭りを楽しめる内容となっています。,/2025/8/%E5%BA%9C%E5%86%85%E6%88%A6%E7%B4%99.jpeg,https://www.youtube.com/watch?v=Gf3s9szTna4,2025-07-18
